pre_loss,pre_acc,post_loss,post_acc,maintained_correct_pred,model_type,attack
0.04046865925192833,0.9905999898910522,0.05759214982390404,0.9865000247955322,0.9958610942862911,trop,1
0.04046865925192833,0.9905999898910522,0.10587707161903381,0.9747999906539917,0.9840500706642439,trop,3
0.04046865925192833,0.9905999898910522,0.1783488541841507,0.9613999724388123,0.9705229154048052,trop,5
0.04046865925192833,0.9905999898910522,0.2718764841556549,0.9448999762535095,0.9538663436301231,trop,7
0.04046865925192833,0.9905999898910522,0.3867303431034088,0.9259999990463257,0.9347869977791238,trop,9
0.04046865925192833,0.9905999898910522,0.4869658648967743,0.9100000262260437,0.9186351706036745,trop,11
0.04046865925192833,0.9905999898910522,0.5437717437744141,0.8998000025749207,0.9083383807793257,trop,13
0.04046865925192833,0.9905999898910522,0.5886916518211365,0.891700029373169,0.9001615182717545,trop,15
0.04046865925192833,0.9905999898910522,0.6242104768753052,0.8841999769210815,0.8925903492832626,trop,17
0.04046865925192833,0.9905999898910522,0.6514396071434021,0.8792999982833862,0.8876438522107813,trop,19
