"tf.Tensor(19.119087, shape=(), dtype=float32)","tf.Tensor(19.457247, shape=(), dtype=float32)","tf.Tensor(32.720364, shape=(), dtype=float32)","tf.Tensor(21.139727, shape=(), dtype=float32)","tf.Tensor(20.21841, shape=(), dtype=float32)","tf.Tensor(19.129185, shape=(), dtype=float32)","tf.Tensor(18.800085, shape=(), dtype=float32)","tf.Tensor(18.492125, shape=(), dtype=float32)","tf.Tensor(20.412098, shape=(), dtype=float32)","tf.Tensor(18.377087, shape=(), dtype=float32)"
"tf.Tensor(31.455004, shape=(), dtype=float32)","tf.Tensor(17.692448, shape=(), dtype=float32)","tf.Tensor(18.061253, shape=(), dtype=float32)","tf.Tensor(18.602076, shape=(), dtype=float32)","tf.Tensor(19.064587, shape=(), dtype=float32)","tf.Tensor(19.14793, shape=(), dtype=float32)","tf.Tensor(19.146582, shape=(), dtype=float32)","tf.Tensor(17.244421, shape=(), dtype=float32)","tf.Tensor(18.348942, shape=(), dtype=float32)","tf.Tensor(19.221899, shape=(), dtype=float32)"
"tf.Tensor(19.314703, shape=(), dtype=float32)","tf.Tensor(20.522108, shape=(), dtype=float32)","tf.Tensor(20.407524, shape=(), dtype=float32)","tf.Tensor(20.817278, shape=(), dtype=float32)","tf.Tensor(34.29914, shape=(), dtype=float32)","tf.Tensor(19.754808, shape=(), dtype=float32)","tf.Tensor(20.800518, shape=(), dtype=float32)","tf.Tensor(20.502043, shape=(), dtype=float32)","tf.Tensor(20.684494, shape=(), dtype=float32)","tf.Tensor(21.246859, shape=(), dtype=float32)"
"tf.Tensor(19.166725, shape=(), dtype=float32)","tf.Tensor(18.863035, shape=(), dtype=float32)","tf.Tensor(19.109041, shape=(), dtype=float32)","tf.Tensor(20.505135, shape=(), dtype=float32)","tf.Tensor(20.388405, shape=(), dtype=float32)","tf.Tensor(21.343943, shape=(), dtype=float32)","tf.Tensor(19.175396, shape=(), dtype=float32)","tf.Tensor(18.45081, shape=(), dtype=float32)","tf.Tensor(31.54522, shape=(), dtype=float32)","tf.Tensor(19.383171, shape=(), dtype=float32)"
"tf.Tensor(17.637188, shape=(), dtype=float32)","tf.Tensor(19.029573, shape=(), dtype=float32)","tf.Tensor(20.202267, shape=(), dtype=float32)","tf.Tensor(19.953913, shape=(), dtype=float32)","tf.Tensor(20.346355, shape=(), dtype=float32)","tf.Tensor(18.184961, shape=(), dtype=float32)","tf.Tensor(16.990582, shape=(), dtype=float32)","tf.Tensor(31.950075, shape=(), dtype=float32)","tf.Tensor(18.460518, shape=(), dtype=float32)","tf.Tensor(19.035044, shape=(), dtype=float32)"
"tf.Tensor(18.820692, shape=(), dtype=float32)","tf.Tensor(17.79287, shape=(), dtype=float32)","tf.Tensor(16.900846, shape=(), dtype=float32)","tf.Tensor(17.365084, shape=(), dtype=float32)","tf.Tensor(18.384792, shape=(), dtype=float32)","tf.Tensor(18.111467, shape=(), dtype=float32)","tf.Tensor(29.44681, shape=(), dtype=float32)","tf.Tensor(15.7246475, shape=(), dtype=float32)","tf.Tensor(17.562532, shape=(), dtype=float32)","tf.Tensor(16.965746, shape=(), dtype=float32)"
"tf.Tensor(35.2774, shape=(), dtype=float32)","tf.Tensor(19.842424, shape=(), dtype=float32)","tf.Tensor(20.256046, shape=(), dtype=float32)","tf.Tensor(20.862589, shape=(), dtype=float32)","tf.Tensor(21.381306, shape=(), dtype=float32)","tf.Tensor(22.068419, shape=(), dtype=float32)","tf.Tensor(21.473265, shape=(), dtype=float32)","tf.Tensor(19.339954, shape=(), dtype=float32)","tf.Tensor(20.578697, shape=(), dtype=float32)","tf.Tensor(21.557734, shape=(), dtype=float32)"
"tf.Tensor(19.317457, shape=(), dtype=float32)","tf.Tensor(19.69136, shape=(), dtype=float32)","tf.Tensor(18.704159, shape=(), dtype=float32)","tf.Tensor(19.21793, shape=(), dtype=float32)","tf.Tensor(20.346441, shape=(), dtype=float32)","tf.Tensor(20.645653, shape=(), dtype=float32)","tf.Tensor(32.63364, shape=(), dtype=float32)","tf.Tensor(17.40246, shape=(), dtype=float32)","tf.Tensor(19.518682, shape=(), dtype=float32)","tf.Tensor(18.775984, shape=(), dtype=float32)"
"tf.Tensor(22.542356, shape=(), dtype=float32)","tf.Tensor(24.465918, shape=(), dtype=float32)","tf.Tensor(24.243238, shape=(), dtype=float32)","tf.Tensor(36.020027, shape=(), dtype=float32)","tf.Tensor(25.031656, shape=(), dtype=float32)","tf.Tensor(25.732473, shape=(), dtype=float32)","tf.Tensor(23.42812, shape=(), dtype=float32)","tf.Tensor(24.20865, shape=(), dtype=float32)","tf.Tensor(24.589176, shape=(), dtype=float32)","tf.Tensor(23.385197, shape=(), dtype=float32)"
"tf.Tensor(18.6965, shape=(), dtype=float32)","tf.Tensor(33.201794, shape=(), dtype=float32)","tf.Tensor(20.091797, shape=(), dtype=float32)","tf.Tensor(20.673103, shape=(), dtype=float32)","tf.Tensor(20.9088, shape=(), dtype=float32)","tf.Tensor(19.535034, shape=(), dtype=float32)","tf.Tensor(19.798193, shape=(), dtype=float32)","tf.Tensor(19.549032, shape=(), dtype=float32)","tf.Tensor(20.162624, shape=(), dtype=float32)","tf.Tensor(19.045183, shape=(), dtype=float32)"
